"","class","value","chrystaline","sed.porous","sed.fract","karst"
"1","Igneous_Extrusive",1,1,0,0,0
"2","Igneous_Intrusive",2,1,0,0,0
"3","Igneous_Intrusive_Anorthosite",3,1,0,0,0
"4","Igneous_Intrusive_Felsic",4,1,0,0,0
"5","Igneous_Intrusive_Felsic_Felsite",5,1,0,0,0
"6","Igneous_Intrusive_Felsic_Pegmatite",6,1,0,0,0
"7","Igneous_Intrusive_Felsic_Tonalite",7,1,0,0,0
"8","Igneous_Intrusive_Intermediate",8,1,0,0,0
"9","Igneous_Intrusive_Mafic",9,1,0,0,0
"10","Igneous_Intrusive_Ultramafic",10,1,0,0,0
"11","Metamorphic_Amphibolite",11,1,0,0,0
"12","Metamorphic_Charnockite",12,1,0,0,0
"13","Metamorphic_Gneiss",13,1,0,0,0
"14","Metamorphic_Gneiss_Orthogneiss",14,1,0,0,0
"15","Metamorphic_Gneiss_Paragneiss",15,1,0,0,0
"16","Metamorphic_Granulite",16,1,0,0,0
"17","Metamorphic_Migmatite",17,1,0,0,0
"18","Metamorphic_Schist",18,1,0,0,0
"19","Other_Melange",19,0,0,1,0
"20","Other_Unconsolidated",20,0,1,0,0
"21","Other_Unknown",21,0,0,0,0
"22","Other_Water",22,0,0,0,0
"23","Sedimentary_Chemical",23,0,0,1,0
"24","Sedimentary_Chemical_Carbonate",24,0,0,0,1
"25","Sedimentary_Chemical_Evaporite",25,0,0,0,1
"26","Sedimentary_Siliciclastic",26,0,0,1,0
